English,German Singular,German Plural,Differences
1739. Turkey,Der Truthahn,Die Truthähne,":, e"
1740. Preacher,Der Prediger,Die Prediger,
1741. Possession,Der Besitz,(usually uncountable),
1742. Dolly,Die Sackkarre,Die Sackkarren,n
1743. Linen,Das Leinen,(usually uncountable),
1744. Apology,Die Entschuldigung,Die Entschuldigungen,en
1745. Lecture,Der Vortrag,Die Vorträge,":, e"
1746. Boulder,Der Fels,Die Felsen,en
1747. Heap,Der Haufen,Die Haufen,
1748. Photographer,Der Fotograf,Die Fotografen,en
1749. Brake,Die Bremse,Die Bremsen,n
1750. Demand,Die Nachfrage,Die Nachfragen,n
1751. Apron,Die Schürze,Die Schürzen,n
1752. Cloak,Der Umhang,Die Umhänge,":, e"
1753. Jury,Die Jury,Die Jurys,s
1754. Hearing,Die Anhörung,Die Anhörungen,en
1755. Gray,Das Grau,(usually uncountable),
1756. Crate,Die Kiste,Die Kisten,n
1757. Method,Die Methode,Die Methoden,n
1758. Reference,Die Referenz,Die Referenzen,en
1759. Disgust,Der Ekel,(usually uncountable),
1760. Liquor,Der Schnaps,Die Schnäpse,":, e"
1761. Lipstick,Der Lippenstift,Die Lippenstifte,e
1762. Core,Der Kern,Die Kerne,e
1763. Individual,Das Individuum,Die Individuen,"e, n, "
1764. Container,Der Container,Die Container,
1765. Whore,Die Hure,Die Huren,n
1766. Infant,Das Kleinkind,Die Kleinkinder,er
1767. Sunglasses,Die Sonnenbrille,Die Sonnenbrillen,n
1768. Hose,Die Hose,Die Hosen,n
1769. Concert,Das Konzert,Die Konzerte,e
1770. Bullshit,Der Unsinn,(usually uncountable),
1771. Railroad,Die Eisenbahn,Die Eisenbahnen,en
1772. Parade,Die Parade,Die Paraden,n
1773. Compartment,Das Abteil,Die Abteile,e
1774. Resident,Der Bewohner,Die Bewohner,
1775. Oven,Der Ofen,Die Öfen,":, "
1776. Technician,Der Techniker,Die Techniker,
1777. Procedure,Das Verfahren,Die Verfahren,
1778. Fighter,Der Kämpfer,Die Kämpfer,
1779. Grain,Das Korn,Die Körner,":, er"
1780. Picnic,Das Picknick,Die Picknicks,s
1781. Tribe,Der Stamm,Die Stämme,":, e"
1782. Bud,Die Knospe,Die Knospen,n
1783. Meadow,Die Wiese,Die Wiesen,n
1784. Public,Die Öffentlichkeit,(usually uncountable),
1785. Poison,Das Gift,Die Gifte,e
1786. Buffalo,Der Büffel,Die Büffel,
1787. Region,Die Region,Die Regionen,en
1788. Production,Die Produktion,Die Produktionen,en
1789. Running,Das Laufen,(usually uncountable),
1790. Loop,Die Schleife,Die Schleifen,n
1791. Sleeping,Das Schlafen,(usually uncountable),
1792. Soda,Die Limonade,Die Limonaden,n
1793. Owl,Die Eule,Die Eulen,n
1794. Menu,Das Menü,Die Menüs,s
1795. Kick,Der Tritt,Die Tritte,e
1796. Ruin,Der Ruin,Die Ruinen,en
1797. Ramp,Die Rampe,Die Rampen,n
1798. Streak,Die Streif,Die Streifen,en
1799. Forearm,Der Unterarm,Die Unterarme,e
1800. Bureau,Das Büro,Die Büros,s
1801. Knuckle,Das Gelenk,Die Gelenke,e
1802. Goose,Die Gans,Die Gänse,":, e"
1803. Advance,Der Fortschritt,Die Fortschritte,e
1804. Fairy,Die Fee,Die Feen,n
1805. Illness,Die Krankheit,Die Krankheiten,en
1806. Squad,Das Kommando,Die Kommandos,s
1807. Official,Der Beamte,Die Beamten,n
1808. Brand,Die Marke,Die Marken,n
1809. Organ,Das Organ,Die Organe,e
1810. Butterfly,Der Schmetterling,Die Schmetterlinge,e
1811. Empire,Das Imperium,Die Reiche,"R, e, i, c, h, e, "
1812. Profile,Das Profil,Die Profile,e
1813. Liberty,Die Freiheit,Die Freiheiten,en
1814. Disbelief,Der Unglaube,(usually uncountable),
1815. Grove,Der Hain,Die Haine,e
1816. Shield,Der Schild,Die Schilde,e
1817. Saddle,Der Sattel,Die Sättel,":, "
1818. Odds,Die Chancen,(plural noun),"n, o, u, ), "
1819. Cluster,Der Cluster,Die Cluster,
1820. Satellite,Der Satellit,Die Satelliten,en
1821. Trigger,Der Auslöser,Die Auslöser,
1822. Puppy,Der Welpe,Die Welpen,n
1823. Waiting,Das Warten,(usually uncountable),
1824. Bulb,Die Glühbirne,Die Glühbirnen,n
1825. Dresser,Die Kommode,Die Kommoden,n
1826. Patrol,Die Patrouille,Die Patrouillen,n
1827. Eagle,Der Adler,Die Adler,
1828. Privacy,Die Privatsphäre,(no plural form),"f, o, r, m, ), "
1829. Fluid,Die Flüssigkeit,Die Flüssigkeiten,en
1830. Herd,Die Herde,(plural noun),"n, o, u, n, ), "
1831. Headache,Die Kopfschmerzen,(plural noun),"n, u, n, ), "
1832. Amusement,Die Unterhaltung,Die Unterhaltungen,en
1833. Wheelchair,Der Rollstuhl,Die Rollstühle,":, e"
1834. Policy,Die Politik,(usually uncountable),
1835. Belle,Die Schönheit,Die Schönheiten,en
1836. Tobacco,Der Tabak,(usually uncountable),
1837. Setting,Die Einstellung,Die Einstellungen,en
1838. Tattoo,Das Tattoo,Die Tattoos,s
1839. Burden,Die Belastung,Die Belastungen,en
1840. Merchant,Der Händler,Die Händler,
1841. Slide,Die Rutsche,Die Rutschen,n
1842. Stain,Der Fleck,Die Flecken,en
1843. Eating,Das Essen,(usually uncountable),
1844. Bond,Die Bindung,Die Bindungen,en
1845. Swimming,Das Schwimmen,(usually uncountable),
1846. Foundation,Die Stiftung,Die Stiftungen,en
1847. Injury,Die Verletzung,Die Verletzungen,en
1848. League,Die Liga,Die Ligen,"e, n"
1849. Battery,Die Batterie,Die Batterien,n
1850. Umbrella,Der Regenschirm,Die Regenschirme,e
1851. Emperor,Der Kaiser,Die Kaiser,
1852. Pier,Der Pier,Die Piers,s
1853. Tap,Der Wasserhahn,Die Wasserhähne,":, e"
1854. Wit,Das Witz,Die Witze,e
1855. Cutter,Der Cutter,Die Cutter,
1856. Attic,Der Dachboden,Die Dachböden,":, "
1857. Tiger,Der Tiger,Die Tiger,
1858. Pal,Der Freund,Die Freunde,e
1859. Ancestor,Der Vorfahr,Die Vorfahren,en
1860. Concentration,Die Konzentration,(usually uncountable),
1861. Mount,Der Berg,Die Berge,e
1862. Expense,Die Kosten,(plural noun),"n, u, n, ), "
1863. Blessing,Der Segen,Die Segen,
1864. Leave,Der Urlaub,(usually uncountable),
1865. Ledge,Der Vorsprung,Die Vorsprünge,":, e"
1866. Torch,Die Fackel,Die Fackeln,n
1867. Ink,Die Tinte,(usually uncountable),
1868. Plot,Die Handlung,Die Handlungen,en
1869. Rent,Die Miete,Die Mieten,n
1870. Mule,Die Maultier,Die Maultiere,e
1871. Arch,Der Bogen,Die Bögen,":, "
1872. Environment,Die Umwelt,Die Umwelten,en
1873. Frown,Die Stirnrunzeln,(plural noun),"n, o, u, n, ), "
1874. Inspector,Der Inspektor,Die Inspektoren,en
1875. Midst,Die Mitte,Die Mitte,
1876. Embarrassment,Die Peinlichkeit,Die Peinlichkeiten,en
1877. Complaint,Die Beschwerde,Die Beschwerden,n
1878. Portion,Die Portion,Die Portionen,en
1879. Chuck,Die Wegwerfen,(usually uncountable),
1880. Clearing,Die Lichtung,Die Lichtungen,en
1881. Crisis,Die Krise,Die Krisen,n
1882. Necklace,Die Halskette,Die Halsketten,n
1883. Lantern,Die Laterne,Die Laternen,n
1884. Wealth,Der Reichtum,(usually uncountable),
1885. Murderer,Der Mörder,Die Mörder,
1886. Civilization,Die Zivilisation,Die Zivilisationen,en
1887. Concept,Das Konzept,Die Konzepte,e
1888. Lamb,Das Lamm,Die Lämmer,":, er"
1889. Stride,Die Schritt,Die Schritte,e
1890. Cuff,Das Manschette,Die Manschetten,n
1891. Virgin,Die Jungfrau,Die Jungfrauen,en
1892. Squirrel,Das Eichhörnchen,Die Eichhörnchen,
1893. Babe,Das Baby,Die Babys,s
1894. Starling,Der Star,Die Stare,e
1895. Depression,Die Depression,Die Depressionen,en
1896. Storage,Die Lagerung,Die Lagerungen,en
1897. Altar,Der Altar,Die Altäre,":, e"
1898. Tragedy,Die Tragödie,Die Tragödien,n
1899. Resource,Die Ressource,Die Ressourcen,n
1900. Traveler,Der Reisende,Die Reisenden,n
1901. Trust,Das Vertrauen,(usually uncountable),
1902. Arc,Der Bogen,Die Bögen,":, "
1903. Kingdom,Das Königreich,Die Königreiche,e
1904. Jewel,Das Juwel,Die Juwelen,en
1905. Musician,Der Musiker,Die Musiker,
1906. Airplane,Das Flugzeug,Die Flugzeuge,e
1907. Junk,Der Müll,(usually uncountable),
1908. Sunshine,Der Sonnenschein,(usually uncountable),
1909. Lad,Der Junge,Die Jungen,n
1910. Elf,Der Elf,Die Elfen,en
1911. Protest,Der Protest,Die Proteste,e
1912. Hunt,Die Jagd,Die Jagden,en
1913. Executive,Der Geschäftsführer,Die Geschäftsführer,
1914. Diary,Das Tagebuch,Die Tagebücher,":, er"
1915. Aspect,Der Aspekt,Die Aspekte,e
1916. Dial,Das Zifferblatt,Die Zifferblätter,":, er"
1917. Slipper,Der Pantoffel,Die Pantoffel,
1918. Actress,Die Schauspielerin,Die Schauspielerinnen,nen
1919. Shooting,Das Schießen,(usually uncountable),
1920. Earring,Der Ohrring,Die Ohrringe,e
1921. Ant,Die Ameise,Die Ameisen,n
1922. Patty,Das Brötchen,Die Brötchen,
1923. Sauce,Die Sauce,Die Saucen,n
1924. Missile,Die Rakete,Die Raketen,n
1925. Intensity,Die Intensität,(usually uncountable),
1926. Ditch,Der Graben,Die Gräben,":, "
1927. Daisy,Das Gänseblümchen,Die Gänseblümchen,
1928. Chapel,Die Kapelle,Die Kapellen,n
1929. Swamp,Das Sumpf,Die Sümpfe,":, e"
1930. Relation,Die Beziehung,Die Beziehungen,en
1931. Guess,Die Vermutung,Die Vermutungen,en
1932. Crane,Der Kran,Die Kräne,":, e"
1933. Encounter,Das Aufeinandertreffen,Die Aufeinandertreffen,
1934. Sequence,Die Abfolge,Die Abfolgen,n
1935. Fragment,Das Fragment,Die Fragmente,e
1936. Draft,Die Ausarbeitung,Die Ausarbeitungen,en
1937. Diner,Das Speiselokal,Die Speiselokale,e
1938. Function,Die Funktion,Die Funktionen,en
1939. Organization,Die Organisation,Die Organisationen,en
1940. Skeleton,Das Skelett,Die Skelette,e
1941. Misery,Das Elend,(usually uncountable),
1942. Herb,Das Kraut,Die Kräuter,":, er"
1943. Stump,Der Stumpf,Die Stümpfe,":, e"
1944. Stake,Der Einsatz,Die Einsätze,":, e"
1945. Puff,Das Puff,Die Puffs,s
1946. Creation,Die Schaffung,Die Schaffungen,en
1947. Wake,Das Erwachen,Die Erwachen,
1948. Wizard,Der Zauberer,Die Zauberer,
1949. Mat,Das Matte,Die Matten,n
1950. Seal,Die Dichtung,Die Dichtungen,en
1951. Twilight,Die Dämmerung,(usually uncountable),
1952. Grunt,Das Grunzen,Die Grunzen,
1953. Punishment,Die Bestrafung,Die Bestrafungen,en
1954. Clan,Der Clan,Die Clans,s
1955. Copper,Das Kupfer,(usually uncountable),
1956. Debris,Der Schutt,(no plural form),"f, o, r, m, ), "
1957. Painter,Der Maler,Die Maler,
1958. Steering,Die Lenkung,Die Lenkungen,en
1959. Math,Die Mathematik,(usually uncountable),
1960. Recognition,Die Anerkennung,(usually uncountable),
1961. Temper,Der Gemüt,(usually uncountable),
1962. Regret,Das Bedauern,(usually uncountable),
1963. Destination,Das Ziel,Die Ziele,e
1964. Mill,Die Mühle,Die Mühlen,n
1965. Error,Der Fehler,Die Fehler,
1966. Romance,Die Romanze,Die Romanzen,n
1967. Topic,Das Thema,Die Themen,"e, n"
1968. Patio,Die Terrasse,Die Terrassen,n
1969. Shovel,Die Schaufel,Die Schaufeln,n
1970. Pajamas,Der Schlafanzug,Die Schlafanzüge,":, e"
1971. EMail,Die E-Mail,Die E-Mails,s
1972. Pigeon,Die Taube,Die Tauben,n
1973. Dinosaur,Der Dinosaurier,Die Dinosaurier,
1974. Industry,Die Industrie,Die Industrien,n
1975. Operator,Der Operator,Die Operatoren,en
1976. Lift,Der Aufzug,Die Aufzüge,":, e"
1977. Counselor,Der Berater,Die Berater,
1978. Gathering,Das Treffen,Die Treffen,
1979. Principle,Das Prinzip,Die Prinzipien,ien
1980. Drama,Das Drama,Die Dramen,"e, n"
1981. Chick,Das Küken,Die Küken,
1982. Chart,Das Diagramm,Die Diagramme,e
1983. Campaign,Die Kampagne,Die Kampagnen,n
1984. Laurel,Der Lorbeer,Die Lorbeeren,en
1985. Steak,Das Steak,Die Steaks,s
1986. Criminal,Der Verbrecher,Die Verbrecher,
1987. Globe,Der Globus,Die Globen,"e, n, "
1988. Bruise,Der Bluterguss,Die Blutergüsse,":, e"
1989. Knob,Der Knopf,Die Knöpfe,":, e"
1990. Killing,Der Mord,Die Morde,e
1991. Sweetheart,Die Liebste,Die Liebsten,n
1992. Opera,Die Oper,Die Opern,n
1993. Frost,Der Frost,(no plural form),"f, o, r, m, ), "
1994. Nipple,Die Brustwarze,Die Brustwarzen,n
1995. Reverend,Der Pfarrer,Die Pfarrer,
1996. Haze,Der Dunst,(usually uncountable),
1997. Flood,Die Überschwemmung,Die Überschwemmungen,en
1998. Carol,Das Lied,Die Lieder,er
1999. Weakness,Die Schwäche,Die Schwächen,n
2000. Cooking,Das Kochen,(usually uncountable),
2001. Butcher,Der Metzger,Die Metzger,
2002. Cube,Der Würfel,Die Würfel,
2003. Cellar,Der Keller,Die Keller,
2004. Hollow,Die Hohlheit,Die Hohlheiten,en
2005. Bump,Der Stoß,Die Stöße,":, e"
2006. Halt,Der Halt,Die Halte,e
2007. Hay,Das Heu,(usually uncountable),
2008. Bark,Die Rinde,Die Rinden,n
2009. Survival,Das Überleben,(usually uncountable),
2010. Bunk,Die Koje,Die Kojen,n
2011. Bend,Die Kurve,Die Kurven,n
2012. Approval,Die Zustimmung,Die Zustimmungen,en
2013. Division,Die Division,Die Divisionen,en
2014. Cocktail,Der Cocktail,Die Cocktails,s
2015. Contest,Der Wettkampf,Die Wettkämpfe,":, e"
2016. Paradise,Das Paradies,Die Paradiese,e
2017. Razor,Der Rasierer,Die Rasierer,
2018. Catch,Der Fang,Die Fänge,":, e"
2019. Blossom,Die Blüte,Die Blüten,n
2020. Puddle,Die Pfütze,Die Pfützen,n
2021. Electricity,Der Strom,(usually uncountable),
2022. Onion,Die Zwiebel,Die Zwiebeln,n
2023. Laser,Der Laser,Die Laser,
2024. Cushion,Das Kissen,Die Kissen,
2025. Influence,Der Einfluss,Die Einflüsse,":, e"
2026. Jump,Der Sprung,Die Sprünge,":, e"
2027. Cement,Der Zement,(usually uncountable),
2028. Amber,Das Bernstein,(usually uncountable),
2029. Goddess,Die Göttin,Die Göttinnen,nen
2030. Shack,Die Hütte,Die Hütten,n
2031. Sales,Der Verkauf,(usually uncountable),
2032. Drift,Der Treibende,Die Treibenden,n
2033. Fighting,Der Kampf,Die Kämpfe,":, e"
2034. Braid,Der Zopf,Die Zöpfe,":, e"
2035. Theme,Das Thema,Die Themen,"e, n"
2036. Dignity,Die Würde,(usually uncountable),
2037. Lemon,Die Zitrone,Die Zitronen,n
2038. Clown,Der Clown,Die Clowns,s
2039. Assault,Der Angriff,Die Angriffe,e
2040. Goggle,Die Brille,Die Brillen,n
2041. Destruction,Die Zerstörung,Die Zerstörungen,en
2042. Exception,Die Ausnahme,Die Ausnahmen,n
2043. Peach,Der Pfirsich,Die Pfirsiche,e
2044. Wash,Die Wäsche,(usually uncountable),
2045. Release,Die Freilassung,Die Freilassungen,en
2046. Spy,Der Spion,Die Spione,e
2047. Tag,Der Tag,Die Tage,e
2048. Bra,Der BH,Die BHs,s
2049. Debt,Die Schuld,Die Schulden,en
2050. Terrace,Die Terrasse,Die Terrassen,n
2051. Remains,Die Überreste,(plural noun),"n, o, u, n, ), "
2052. Logic,Die Logik,(usually uncountable),
2053. Joint,Das Gelenk,Die Gelenke,e
2054. Pitcher,Der Krug,Die Krüge,":, e"
2055. Perspective,Die Perspektive,Die Perspektiven,n
2056. Crop,Die Ernte,Die Ernten,n
2057. Graduate,Der Absolvent,Die Absolventen,en
2058. Chorus,Der Chor,Die Chöre,":, e"
2059. Survivor,Der Überlebende,Die Überlebenden,n
2060. Payment,Die Zahlung,Die Zahlungen,en
2061. Bet,Die Wette,Die Wetten,n
2062. Revenge,Die Rache,(usually uncountable),
2063. Plaza,Der Platz,Die Plätze,":, e"
2064. Elder,Der Ältere,Die Älteren,n
2065. Ginger,Der Ingwer,(usually uncountable),
2066. Surgeon,Der Chirurg,Die Chirurgen,en
2067. Dash,Der Strich,Die Striche,e
2068. Sandal,Die Sandale,Die Sandalen,n
2069. Hatred,Der Hass,(usually uncountable),
2070. Departure,Die Abfahrt,Die Abfahrten,en
2071. Outline,Die Kontur,Die Konturen,en
2072. Raven,Der Rabe,Die Raben,n
2073. Runner,Der Läufer,Die Läufer,
2074. Anticipation,Die Vorfreude,(usually uncountable),
2075. Translation,Die Übersetzung,Die Übersetzungen,en
2076. Headquarters,Das Hauptquartier,Die Hauptquartiere,e
2077. Celebration,Die Feier,Die Feiern,n
2078. Agony,Die Qual,(usually uncountable),
2079. Sneakers,Die Turnschuhe,(plural noun),"n, o, u, ), "
2080. Terminal,Das Terminal,Die Terminals,s
2081. Expectation,Die Erwartung,Die Erwartungen,en
2082. Pasture,Die Weide,Die Weiden,n
2083. Console,Die Konsole,Die Konsolen,n
2084. Strike,Der Streik,Die Streiks,s
2085. Rescue,Die Rettung,Die Rettungen,en
2086. Badge,Das Abzeichen,Die Abzeichen,
2087. Fund,Das Fundament,Die Fundamente,e
2088. Try,Der Versuch,Die Versuche,e
2089. Foyer,Das Foyer,Die Foyers,s
2090. Pastor,Der Pastor,Die Pastoren,en
2091. Embrace,Die Umarmung,Die Umarmungen,en
2092. Puzzle,Das Rätsel,Die Rätsel,
2093. Canal,Der Kanal,Die Kanäle,":, e"
2094. Charity,Die Wohltätigkeit,(usually uncountable),
2095. Principal,Der Direktor,Die Direktoren,en
2096. Applause,Der Applaus,(usually uncountable),
2097. Philosophy,Die Philosophie,Die Philosophien,n
2098. Trench,Der Graben,Die Gräben,":, "
2099. Up,Die Aufwärtsbewegung,(usually uncountable),
2100. Nephew,Der Neffe,Die Neffen,n
2101. Essay,Der Aufsatz,Die Aufsätze,":, e"
2102. Repair,Die Reparatur,Die Reparaturen,en
2103. Mix,Die Mischung,Die Mischungen,en
2104. Mob,Die Menge,Die Mengen,n
2105. Barrier,Die Barriere,Die Barrieren,n
2106. Disk,Die Scheibe,Die Scheiben,n
2107. Goodness,Die Güte,(usually uncountable),
2108. Scout,Der Pfadfinder,Die Pfadfinder,
2109. Importance,Die Bedeutung,Die Bedeutungen,en
2110. Destiny,Das Schicksal,Die Schicksale,e
2111. Aid,Die Hilfe,(usually uncountable),
2112. Microphone,Das Mikrofon,Die Mikrofone,e
2113. Label,Das Etikett,Die Etiketten,en
2114. Pepper,Der Pfeffer,(usually uncountable),
2115. Coyote,Der Kojote,Die Kojoten,n
2116. Teaching,Der Unterricht,(usually uncountable),
2117. Burn,Die Verbrennung,Die Verbrennungen,en
2118. Vest,Die Weste,Die Westen,n
2119. Pony,Das Pony,Die Ponys,s
2120. Donkey,Der Esel,Die Esel,
2121. Cycle,Der Zyklus,Die Zyklen,"e, n, "
2122. Gasp,Das Keuchen,(usually uncountable),
2123. Irony,Die Ironie,(usually uncountable),
2124. Award,Die Auszeichnung,Die Auszeichnungen,en
2125. Grape,Die Traube,Die Trauben,n
2126. Hesitation,Das Zögern,(usually uncountable),
2127. Tavern,Die Taverne,Die Tavernen,n
2128. Chore,Die Aufgabe,Die Aufgaben,n
2129. Sphere,Die Kugel,Die Kugeln,n
2130. Sail,Das Segel,Die Segel,
2131. Silhouette,Die Silhouette,Die Silhouetten,n
2132. Institute,Das Institut,Die Institute,e
2133. Liar,Der Lügner,Die Lügner,
2134. Technique,Die Technik,Die Techniken,en
2135. Index,Der Index,Die Indizes,"i, z, es"
2136. Plank,Die Planke,Die Planken,n
2137. Jerk,Der Ruck,Die Rucke,e
2138. Growth,Das Wachstum,(usually uncountable),
2139. Stocking,Der Strumpf,Die Strümpfe,":, e"
2140. Blackness,Die Schwärze,(usually uncountable),
2141. Teen,Der Jugendliche,Die Jugendlichen,n
2142. Bracelet,Das Armband,Die Armbänder,":, er"
2143. Jelly,Die Marmelade,Die Marmeladen,n
2144. Diet,Die Diät,Die Diäten,en
2145. Beef,Das Rindfleisch,(usually uncountable),
2146. Concrete,Der Beton,(usually uncountable),
2147. Contrast,Der Kontrast,Die Kontraste,e
2148. Banner,Das Banner,Die Banner,
2149. Resistance,Der Widerstand,Die Widerstände,":, e"
2150. Stay,Der Aufenthalt,Die Aufenthalte,e
2151. Posture,Die Haltung,Die Haltungen,en
2152. Vodka,Der Wodka,(usually uncountable),
2153. Album,Das Album,Die Alben,"e, n, "
2154. Era,Die Ära,Die Ären,"e, n"
2155. Acquaintance,Die Bekanntschaft,Die Bekanntschaften,en
2156. Revolution,Die Revolution,Die Revolutionen,en
2157. Nap,Der Mittagsschlaf,Die Mittagsschläfe,":, e"
2158. Veil,Der Schleier,Die Schleier,
2159. Spectacle,Das Spektakel,Die Spektakel,
2160. Competition,Der Wettbewerb,Die Wettbewerbe,e
2161. Scalp,Die Kopfhaut,Die Kopfhäute,":, e"
2162. Holly,Die Stechpalme,Die Stechpalmen,n
2163. Winner,Der Gewinner,Die Gewinner,
2164. Appetite,Der Appetit,(usually uncountable),
2165. Ivy,Der Efeu,(usually uncountable),
2166. Cue,Die Cue,Die Cues,s
2167. Strain,Der Stamm,Die Stämme,":, e"
2168. Niece,Die Nichte,Die Nichten,n
2169. Galaxy,Die Galaxie,Die Galaxien,n
2170. Bedside,Das Bett,Die Betten,en
2171. Madness,Der Wahnsinn,(usually uncountable),
2172. Baker,Der Bäcker,Die Bäcker,
2173. Virus,Das Virus,Die Viren,"e, n, "
2174. Suffering,Das Leiden,(usually uncountable),
2175. Slot,Der Schlitz,Die Schlitz,
2176. Folder,Der Ordner,Die Ordner,
2177. Confession,Das Geständnis,Die Geständnisse,se
2178. Porter,Der Türsteher,Die Türsteher,
2179. Dessert,Das Dessert,Die Desserts,s
2180. Dump,Die Mülldeponie,Die Mülldeponien,n
2181. Packet,Das Paket,Die Pakete,e
2182. Profit,Der Gewinn,Die Gewinne,e
2183. Grandchild,Das Enkelkind,Die Enkelkinder,er
2184. Gossip,Das Tratschen,(usually uncountable),
2185. Mare,Die Stute,Die Stuten,n
2186. Dna,Die DNA,(usually unCountable),"u, n, C, ountable)"
2187. Torso,Der Oberkörper,Die Oberkörper,
2188. Broom,Der Besen,Die Besen,
2189. Hoof,Der Huf,Die Hufe,e
2190. Sensor,Der Sensor,Die Sensoren,en
2191. Peasant,Der Bauer,Die Bauern,n
2192. Scholar,Der Gelehrte,Die Gelehrten,n
2193. Therapy,Die Therapie,Die Therapien,n
2194. Peanut,Die Erdnuss,Die Erdnüsse,":, e"
2195. Headline,Die Schlagzeile,Die Schlagzeilen,n
2196. Bacon,Der Speck,(usually uncountable),
2197. Stern,Der Stern,Die Sterne,e
2198. Violin,Die Violine,Die Violinen,n
2199. Plague,Die Plage,Die Plagen,n
2200. Blur,Das Verschwimmen,(usually uncountable),
2201. Meantime,Die Zwischenzeit,Die Zwischenzeiten,en
2202. Deacon,Der Diakon,Die Diakone,e
2203. Lance,Die Lanze,Die Lanzen,n
2204. Arrest,Die Verhaftung,Die Verhaftungen,en
2205. Banana,Die Banane,Die Bananen,n
2206. Gin,Der Gin,(usually uncountable),
2207. Willow,Die Weide,Die Weiden,n
2208. Shark,Der Hai,Die Haie,e
2209. Preparation,Die Vorbereitung,Die Vorbereitungen,en
2210. Scratch,Der Kratzer,Die Kratzer,
2211. Dressing,Das Ankleiden,(usually uncountable),
2212. Signature,Die Unterschrift,Die Unterschriften,en
2213. Admiral,Der Admiral,Die Admirale,e
2214. Analysis,Die Analyse,Die Analysen,n
2215. Rainbow,Der Regenbogen,Die Regenbogen,
2216. Lizard,Der Eidechse,Die Eidechsen,n
2217. Dwarf,Der Zwerg,Die Zwerge,e
2218. Stress,Der Stress,(usually uncountable),
2219. Homework,Die Hausaufgabe,Die Hausaufgaben,n
2220. Mixture,Die Mischung,Die Mischungen,en
2221. Verse,Das Gedicht,Die Gedichte,e
2222. Conviction,Die Überzeugung,Die Überzeugungen,en
2223. Rover,Der Rover,Die Rover,
2224. Wren,Der Zaunkönig,Die Zaunkönige,e
2225. Compound,Die Verbindung,Die Verbindungen,en
2226. Expedition,Die Expedition,Die Expeditionen,en
2227. Reward,Die Belohnung,Die Belohnungen,en
2228. Pillar,Die Säule,Die Säulen,n
2229. Jam,Die Marmelade,Die Marmeladen,n
2230. Brandy,Der Weinbrand,(usually uncountable),
2231. Residence,Der Wohnsitz,Die Wohnsitze,e
2232. Baron,Der Baron,Die Barone,e
2233. Enterprise,Das Unternehmen,Die Unternehmen,
2234. Complex,Das Gebäudekomplex,Die Gebäudekomplexe,e
2235. Candidate,Der Kandidat,Die Kandidaten,en
2236. Triumph,Der Triumph,Die Triumphe,e
2237. Twist,Der Twist,Die Twists,s
2238. Sketch,Die Skizze,Die Skizzen,n
2239. Register,Das Register,Die Register,
2240. Heartbeat,Der Herzschlag,Die Herzschläge,":, e"
2241. Cafeteria,Die Cafeteria,Die Cafeterien,"e, n"
2242. Fee,Die Gebühr,Die Gebühren,en
2243. Hillside,Der Hügel,Die Hügel,
2244. Maze,Das Labyrinth,Die Labyrinthe,e
2245. Fisherman,Der Fischer,Die Fischer,
2246. Hum,Das Brummen,(usually uncountable),
2247. Kitten,Das Kätzchen,Die Kätzchen,
2248. Dread,Die Furcht,(usually uncountable),
2249. Substance,Die Substanz,Die Substanzen,en
2250. Melody,Die Melodie,Die Melodien,n
2251. Bang,Der Knall,Die Knalle,e
2252. Dagger,Der Dolch,Die Dolche,e
2253. Intent,Die Absicht,Die Absichten,en
2254. Con,Der Schwindel,Die Schwindel,
2255. Loneliness,Die Einsamkeit,(usually uncountable),
2256. Motorcycle,Das Motorrad,Die Motorräder,":, er"
2257. Amazement,Das Erstaunen,(usually uncountable),
2258. Peer,Der Gleichaltrige,Die Gleichaltrigen,n
2259. Tech,Die Technik,(usually uncountable),
2260. Insult,Die Beleidigung,Die Beleidigungen,en
2261. Capacity,Die Kapazität,Die Kapazitäten,en
2262. Awe,Das Ehrfurcht,(usually uncountable),
2263. Chili,Das Chili,Die Chilis,s
2264. Lodge,Die Lodge,Die Lodges,s
2265. Clip,Der Clip,Die Clips,s
2266. Limo,Die Limousine,Die Limousinen,n
2267. Mosquito,Die Mücke,Die Mücken,n
2268. Dice,Der Würfel,Die Würfel,
2269. Shake,Der Shake,Die Shakes,s
2270. Feast,Das Festmahl,Die Festmahle,e
2271. Casino,Das Kasino,Die Kasinos,s
2272. Pea,Die Erbse,Die Erbsen,n
2273. Murmur,Das Murmeln,(usually uncountable),
2274. Conflict,Der Konflikt,Die Konflikte,e
